,종목코드,종목명,fullCode
639,A017960,한국카본,KR7017960006
640,A018000,유니슨,KR7018000000
641,A018120,진로발효,KR7018120006
642,A018250,애경산업,KR7018250001
643,A018260,삼성에스디에스,KR7018260000
644,A018290,브이티지엠피,KR7018290007
645,A018310,삼목에스폼,KR7018310003
646,A018360,삼성메디슨,KR7018360008
647,A018470,조일알미늄,KR7018470005
648,A018500,동원금속,KR7018500009
649,A018620,우진비앤지,KR7018620005
650,A018670,SK가스,KR7018670000
651,A018680,서울제약,KR7018680009
652,A018700,바른손,KR7018700005
653,A018880,한온시스템,KR7018880005
654,A019010,베뉴지,KR7019010008
655,A019170,신풍제약,KR7019170000
656,A019175,신풍제약우,KR7019171008
657,A019180,티에이치엔,KR7019180009
658,A019210,와이지-원,KR7019210004
659,A019440,세아특수강,KR7019440007
660,A019490,하이트론,KR7019490002
661,A019540,일지테크,KR7019540004
662,A019550,SBI인베스트먼트,KR7019550003
663,A019570,리더스 기술투자,KR7019570001
664,A019590,엠벤처투자,KR7019590009
665,A019660,글로본,KR7019660000
666,A019680,대교,KR7019680008
667,A019685,대교우B,KR7019681006
668,A019770,서연탑메탈,KR7019770007
669,A019990,에너토크,KR7019990001
670,A020000,한섬,KR7020000006
671,A020120,키다리스튜디오,KR7020120002
672,A020150,롯데에너지머티리얼즈,KR7020150009
673,A020180,대신정보통신,KR7020180006
674,A020400,대동금속,KR7020400008
675,A020560,아시아나항공,KR7020560009
676,A020710,시공테크,KR7020710000
677,A020760,일진디스플,KR7020760005
678,A020920,코리아로터리,KR7020920005
679,A021040,대호특수강,KR7021040001
680,A021045,대호특수강우,KR7021041009
681,A021050,서원,KR7021050000
682,A021080,에이티넘인베스트,KR7021080007
683,A021240,코웨이,KR7021240007
684,A021320,KCC건설,KR7021320007
685,A021650,한국큐빅,KR7021650007
686,A021820,세원정공,KR7021820006
687,A021880,메이슨캐피탈,KR7021880000
688,A022100,포스코DX,KR7022100002
689,A022220,TKG애강,KR7022220008
690,A023000,삼원강재,KR7023000003
691,A023150,MH에탄올,KR7023150006
692,A023160,태광,KR7023160005
693,A023350,한국종합기술,KR7023350002
694,A023410,유진기업,KR7023410004
695,A023440,제이스코홀딩스,KR7023440001
696,A023450,동남합성,KR7023450000
697,A023460,CNH,KR7023460009
698,A023530,롯데쇼핑,KR7023530009
699,A023590,다우기술,KR7023590003
700,A023600,삼보판지,KR7023600000
701,A023760,한국캐피탈,KR7023760002
702,A023770,플레이위드,KR7023770001
703,A023790,동일철강,KR7023790009
704,A023800,인지컨트롤스,KR7023800006
705,A023810,인팩,KR7023810005
706,A023900,풍국주정,KR7023900004
707,A023910,대한약품,KR7023910003
708,A023960,에쓰씨엔지니어링,KR7023960008
709,A024060,흥구석유,KR7024060006
710,A024070,WISCOM,KR7024070005
711,A024090,디씨엠,KR7024090003
712,A024110,기업은행,KR7024110009
713,A024120,KB오토시스,KR7024120008
714,A024720,한국콜마홀딩스,KR7024720005
715,A024740,한일단조,KR7024740003
716,A024800,유성티엔에스,KR7024800005
717,A024810,이화전기,KR7024810004
718,A024830,세원물산,KR7024830002
719,A024840,KBI메탈,KR7024840001
720,A024850,HLB이노베이션,KR7024850000
721,A024880,케이피에프,KR7024880007
722,A024890,대원화성,KR7024890006
723,A024900,덕양산업,KR7024900003
